the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (88.24260000000012 27.342500000000054),144,9/1/2013,9,Sep,Sikkim 2013,2013,308,09/01/2013 07:00:00 AM +0000,India,Tamabong Village In Sikkim State,landslide,Landslide,Downpour,5,0,Known_within_50_km,Medium,Namchi,23.35047,Sikkim,,6625,29.3576,79.5519
POINT (79.21910000000015 30.26200000000009),150,7/24/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/24/2013 07:00:00 AM +0000,India,"Karnaprayag, Uttarakhand",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Rudraprayag,22.80443,Uttarakhand,,43000,27.0765,88.4808
POINT (94.97310000000013 26.420500000000086),152,8/16/2013,8,Aug,Nagaland 2013,2013,291.3,08/16/2013 07:00:00 AM +0000,India,"Yakshu, Nagaland",landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Tuensang,22.58609,Nagaland,,5104047,12.9752,77.6092
POINT (94.97310000000013 26.420500000000086),153,8/30/2013,8,Aug,Nagaland 2013,2013,291.3,08/30/2013 07:00:00 AM +0000,India,"Yakshu, Nagaland",landslide,Mudslide,Unknown,0,0,Known_within_5_km,Medium,Tuensang,22.58609,Nagaland,,17123,30.742,78.4543
POINT (79.19390000000013 30.19440000000006),154,7/23/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/23/2013 07:00:00 AM +0000,India,"Deval, Chamoli District, Uttarakhand",landslide,Landslide,Downpour,0,0,Known_within_1_km,Medium,Rudraprayag,22.58549,Uttarakhand,,37475,34.18,77.58
POINT (94.70310000000015 26.097700000000057),155,6/7/2013,6,Jun,Nagaland 2013,2013,206.6,06/07/2013 07:00:00 AM +0000,India,"Kuthur â?? Huker Road Via Y Anner, Chessore, Nagaland",landslide,Landslide,Unknown,0,0,Known_within_25_km,Medium,Tuensang,22.32574,Nagaland,,65586,15.4838,73.8164
POINT (79.21430000000011 30.362900000000053),159,7/10/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/10/2013 07:00:00 AM +0000,India,"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand",landslide,Landslide,Rain,7,0,Known_within_5_km,Medium,Papalkoti,21.92126,Uttarakhand,,899094,26.1771,91.7599
POINT (79.07650000000014 30.4619000000001),165,6/16/2013,6,Jun,Uttarakhand 2013,2013,488.9,06/16/2013 07:00:00 AM +0000,India,"Rudraprayag-Gaurikund Road, Uttarakhand",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Rudraprayag,21.58422,Uttarakhand,,30700,27.3392,88.6188
POINT (94.60550000000016 26.149800000000052),166,8/4/2013,8,Aug,Nagaland 2013,2013,291.3,08/04/2013 07:00:00 AM +0000,India,"Suruhuto Town, Nagaland",landslide,Landslide,Monsoon,0,0,Known_within_10_km,Medium,Mokokchang,21.25445,Nagaland,,1147,27.1667,88.35
POINT (94.69300000000013 26.7103000000001),178,8/11/2013,8,Aug,Assam 2013,2013,289.7,08/11/2013 07:00:00 AM +0000,India,Kangtsung Village,landslide,Landslide,Downpour,0,0,Known_within_10_km,Very_large,Amguri,20.23756,Assam,,65586,15.5063,73.8362
